symfony/translation                6.2.8   Provides tools to internationalize your application
symfony/translation-contracts      3.2.1   Generic abstractions related to translation
symfony/uid                        6.2.7   Provides an object-oriented API to generate and repres...
symfony/var-dumper                 6.2.8   Provides mechanisms for walking through any arbitrary ...
symfony/yaml                       6.2.7   Loads and dumps YAML files
theseer/tokenizer                  1.2.1   A small library for converting tokenized PHP source co...
tijsverkoyen/css-to-inline-styles  2.2.6   CssToInlineStyles is a class that enables you to conve...
vlucas/phpdotenv                   5.5.0   Loads environment variables from `.env` to `getenv()`,...
voku/portable-ascii                2.0.1   Portable ASCII library - performance optimized (ascii)...
webmozart/assert                   1.11.0  Assertions to validate method input/output with nice e...
